Dates,"Amazon.com, Inc. (NasdaqGS:AMZN) - Share Pricing"
May-15-1997,1.96
May-16-1997,1.73
May-19-1997,1.71
May-20-1997,1.64
May-21-1997,1.43
May-22-1997,1.40
May-23-1997,1.50
May-27-1997,1.58
May-28-1997,1.53
May-29-1997,1.51
May-30-1997,1.50
Jun-02-1997,1.51
Jun-03-1997,1.48
Jun-04-1997,1.42
Jun-05-1997,1.54
Jun-06-1997,1.66
Jun-09-1997,1.69
Jun-10-1997,1.58
Jun-11-1997,1.54
Jun-12-1997,1.60
Jun-13-1997,1.58
Jun-16-1997,1.57
Jun-17-1997,1.51
Jun-18-1997,1.51
Jun-19-1997,1.51
Jun-20-1997,1.53
Jun-23-1997,1.50
Jun-24-1997,1.51
Jun-25-1997,1.51
Jun-26-1997,1.51
Jun-27-1997,1.49
Jun-30-1997,1.54
Jul-01-1997,1.52
Jul-02-1997,1.59
Jul-03-1997,1.91
Jul-07-1997,2.00
Jul-08-1997,2.30
Jul-09-1997,2.32
Jul-10-1997,2.56
Jul-11-1997,2.29
Jul-14-1997,2.14
Jul-15-1997,2.44
Jul-16-1997,2.33
Jul-17-1997,2.22
Jul-18-1997,2.16
Jul-21-1997,2.18
Jul-22-1997,2.14
Jul-23-1997,2.29
Jul-24-1997,2.26
Jul-25-1997,2.23
Jul-28-1997,2.32
Jul-29-1997,2.48
Jul-30-1997,2.45
Jul-31-1997,2.40
Aug-01-1997,2.42
Aug-04-1997,2.31
Aug-05-1997,2.21
Aug-06-1997,2.25
Aug-07-1997,2.18
Aug-08-1997,2.29
Aug-11-1997,2.33
Aug-12-1997,2.20
Aug-13-1997,2.20
Aug-14-1997,2.16
Aug-15-1997,2.11
Aug-18-1997,2.04
Aug-19-1997,2.17
Aug-20-1997,2.17
Aug-21-1997,2.11
Aug-22-1997,2.13
Aug-25-1997,2.22
Aug-26-1997,2.34
Aug-27-1997,2.32
Aug-28-1997,2.38
Aug-29-1997,2.34
Sep-02-1997,2.35
Sep-03-1997,2.33
Sep-04-1997,2.55
Sep-05-1997,2.50
Sep-08-1997,3.00
Sep-09-1997,3.24
Sep-10-1997,3.30
Sep-11-1997,3.16
Sep-12-1997,3.69
Sep-15-1997,3.09
Sep-16-1997,3.35
Sep-17-1997,3.41
Sep-18-1997,3.29
Sep-19-1997,3.95
Sep-22-1997,4.50
Sep-23-1997,4.63
Sep-24-1997,4.38
Sep-25-1997,4.08
Sep-26-1997,4.17
Sep-29-1997,4.04
Sep-30-1997,4.34
Oct-01-1997,4.02
Oct-02-1997,4.01
Oct-03-1997,4.02
Oct-06-1997,4.13
Oct-07-1997,4.06
Oct-08-1997,4.01
Oct-09-1997,3.75
Oct-10-1997,3.90
Oct-13-1997,4.00
Oct-14-1997,3.98
Oct-15-1997,3.92
Oct-16-1997,3.63
Oct-17-1997,3.63
Oct-20-1997,3.82
Oct-21-1997,4.43
Oct-22-1997,4.52
Oct-23-1997,4.50
Oct-24-1997,5.03
Oct-27-1997,4.27
Oct-28-1997,4.95
Oct-29-1997,5.39
Oct-30-1997,5.13
Oct-31-1997,5.08
Nov-03-1997,5.07
Nov-04-1997,4.96
Nov-05-1997,4.88
Nov-06-1997,4.66
Nov-07-1997,4.48
Nov-10-1997,4.21
Nov-11-1997,3.95
Nov-12-1997,3.77
Nov-13-1997,3.86
Nov-14-1997,4.17
Nov-17-1997,4.38
Nov-18-1997,4.42
Nov-19-1997,4.51
Nov-20-1997,4.58
Nov-21-1997,4.49
Nov-24-1997,4.23
Nov-25-1997,4.20
Nov-26-1997,4.26
Nov-28-1997,4.13
Dec-01-1997,4.27
Dec-02-1997,4.23
Dec-03-1997,4.36
Dec-04-1997,4.50
Dec-05-1997,4.59
Dec-08-1997,4.71
Dec-09-1997,4.69
Dec-10-1997,4.51
Dec-11-1997,4.69
Dec-12-1997,4.54
Dec-15-1997,4.58
Dec-16-1997,4.46
Dec-17-1997,4.39
Dec-18-1997,4.29
Dec-19-1997,4.50
Dec-22-1997,4.70
Dec-23-1997,4.63
Dec-24-1997,4.60
Dec-26-1997,4.52
Dec-29-1997,4.75
Dec-30-1997,4.85
Dec-31-1997,5.02
Jan-02-1998,4.96
Jan-05-1998,4.75
Jan-06-1998,4.84
Jan-07-1998,4.78
Jan-08-1998,4.61
Jan-09-1998,4.26
Jan-12-1998,4.30
Jan-13-1998,4.65
Jan-14-1998,4.88
Jan-15-1998,4.95
Jan-16-1998,4.79
Jan-20-1998,4.95
Jan-21-1998,5.07
Jan-22-1998,5.14
Jan-23-1998,4.94
Jan-26-1998,4.81
Jan-27-1998,4.75
Jan-28-1998,4.77
Jan-29-1998,4.96
Jan-30-1998,4.92
Feb-02-1998,5.20
Feb-03-1998,5.15
Feb-04-1998,5.06
Feb-05-1998,4.94
Feb-06-1998,4.91
Feb-09-1998,4.85
Feb-10-1998,5.30
Feb-11-1998,5.29
Feb-12-1998,5.26
Feb-13-1998,5.19
Feb-17-1998,5.15
Feb-18-1998,5.07
Feb-19-1998,5.23
Feb-20-1998,5.27
Feb-23-1998,5.41
Feb-24-1998,5.41
Feb-25-1998,5.49
Feb-26-1998,6.06
Feb-27-1998,6.42
Mar-02-1998,6.35
Mar-03-1998,5.98
Mar-04-1998,6.12
Mar-05-1998,6.25
Mar-06-1998,6.40
Mar-09-1998,6.96
Mar-10-1998,6.93
Mar-11-1998,6.64
Mar-12-1998,6.54
Mar-13-1998,6.56
Mar-16-1998,6.58
Mar-17-1998,6.66
Mar-18-1998,7.11
Mar-19-1998,7.00
Mar-20-1998,7.00
Mar-23-1998,6.98
Mar-24-1998,7.02
Mar-25-1998,6.81
Mar-26-1998,6.90
Mar-27-1998,7.08
Mar-30-1998,7.16
Mar-31-1998,7.13
Apr-01-1998,7.51
Apr-02-1998,7.92
Apr-03-1998,7.75
Apr-06-1998,7.39
Apr-07-1998,7.10
Apr-08-1998,7.39
Apr-09-1998,7.94
Apr-13-1998,7.86
Apr-14-1998,8.10
Apr-15-1998,8.01
Apr-16-1998,8.21
Apr-17-1998,7.91
Apr-20-1998,7.85
Apr-21-1998,7.76
Apr-22-1998,7.27
Apr-23-1998,6.75
Apr-24-1998,7.07
Apr-27-1998,6.90
Apr-28-1998,7.97
Apr-29-1998,7.96
Apr-30-1998,7.65
May-01-1998,7.88
May-04-1998,7.94
May-05-1998,7.81
May-06-1998,7.53
May-07-1998,7.58
May-08-1998,7.70
May-11-1998,7.24
May-12-1998,7.61
May-13-1998,7.74
May-14-1998,7.63
May-15-1998,7.47
May-18-1998,7.34
May-19-1998,7.53
May-20-1998,7.39
May-21-1998,7.40
May-22-1998,7.17
May-26-1998,6.82
May-27-1998,7.22
May-28-1998,7.16
May-29-1998,7.34
Jun-01-1998,7.14
Jun-02-1998,7.28
Jun-03-1998,7.04
Jun-04-1998,7.31
Jun-05-1998,7.38
Jun-08-1998,7.71
Jun-09-1998,8.54
Jun-10-1998,9.02
Jun-11-1998,10.42
Jun-12-1998,10.17
Jun-15-1998,10.96
Jun-16-1998,12.27
Jun-17-1998,13.17
Jun-18-1998,11.99
Jun-19-1998,12.64
Jun-22-1998,13.56
Jun-23-1998,15.45
Jun-24-1998,16.64
Jun-25-1998,16.51
Jun-26-1998,15.71
Jun-29-1998,16.46
Jun-30-1998,16.63
Jul-01-1998,19.02
Jul-02-1998,20.67
Jul-06-1998,23.25
Jul-07-1998,20.35
Jul-08-1998,17.85
Jul-09-1998,17.58
Jul-10-1998,16.58
Jul-13-1998,17.94
Jul-14-1998,19.17
Jul-15-1998,18.75
Jul-16-1998,18.90
