Region,Year of Period End,Median Sale Price,Homes Sold,New Listings,Inventory,Days on Market,Days on Market MoM,Days on Market YoY
Seattle - Beacon Hill,2012,258561.3636,860,1065,914,343,-0.818181818,-19.95454545
Seattle - Beacon Hill,2013,299791.6667,1154,1248,690,283,-1.333333333,-8.416666667
Seattle - Beacon Hill,2014,338349.7917,1203,1355,708,200,0.041666667,-6.916666667
Seattle - Beacon Hill,2015,396558.1667,1219,1323,518,132,-0.541666667,-5.666666667
Seattle - Beacon Hill,2016,460825,1274,1438,508,109.5,0.041666667,-1.875
Seattle - Beacon Hill,2017,548558.3333,1348,1456,470,133.5,-0.041666667,2
Seattle - Beacon Hill,2018,612187.5,1171,1443,702,133,1.333333333,-0.041666667
Seattle - Beacon Hill,2019,592164.5833,1250,1470,905,319.5,0.125,15.54166667
Seattle - Beacon Hill,2020,626477.0833,1420,1614,640,162.5,-1.125,-13.08333333
Seattle - Beacon Hill,2021,642497.5,200,199,86,51,8,-5.5
Seattle - Belltown,2012,357772.7273,733,843,648,385,0.136363636,-30.86363636
Seattle - Belltown,2013,383791.6667,814,993,652,220,-0.208333333,-15.5
Seattle - Belltown,2014,386391.6667,904,991,543,288.5,0.041666667,5.708333333
Seattle - Belltown,2015,399789.5833,831,909,340,144.5,-0.75,-12
Seattle - Belltown,2016,456260.4167,1005,1025,328,116,-0.291666667,-2.375
Seattle - Belltown,2017,555541.6667,787,784,178,93,-0.083333333,-1.916666667
Seattle - Belltown,2018,605625,785,1068,525,170.5,2.208333333,6.458333333
Seattle - Belltown,2019,542458.3333,719,842,634,465.5,0.625,24.58333333
Seattle - Belltown,2020,563208.3333,610,1069,899,292.5,0.458333333,-14.41666667
Seattle - Belltown,2021,581000,95,128,132,152,18.75,36.75
Seattle - Capitol Hill,2012,348952.0455,1136,1133,734,314.5,-2.590909091,-40.40909091
Seattle - Capitol Hill,2013,363920.8333,1305,1439,657,154,-0.708333333,-17.45833333
Seattle - Capitol Hill,2014,379963.875,1257,1347,521,152,0.541666667,-0.166666667
Seattle - Capitol Hill,2015,420762.5,1386,1495,384,102,-0.791666667,-4.166666667
Seattle - Capitol Hill,2016,494737.5,1464,1540,430,102,-0.083333333,0
Seattle - Capitol Hill,2017,570366.6667,1537,1586,340,90,0,-1
Seattle - Capitol Hill,2018,643743.75,1301,1641,562,123,1.25,2.75
Seattle - Capitol Hill,2019,593783.3333,1517,1889,1018,264.5,1.333333333,11.79166667
Seattle - Capitol Hill,2020,638237.5,1429,1979,1151,214.5,-0.666666667,-4.166666667
Seattle - Capitol Hill,2021,748237.5,227,244,165,86.5,8.25,4
Seattle - Columbia City,2012,288575,424,540,387,435.5,-6.681818182,-29.81818182
Seattle - Columbia City,2013,359292.1667,593,632,284,190,0.25,-28.16666667
Seattle - Columbia City,2014,369806.25,488,526,254,164,-0.833333333,-2.166666667
Seattle - Columbia City,2015,435898.1667,554,598,193,124.5,-0.25,-3.291666667
Seattle - Columbia City,2016,491577.0833,577,625,181,105,0.166666667,-1.625
Seattle - Columbia City,2017,618912.5,629,657,125,97,-0.25,-0.666666667
Seattle - Columbia City,2018,667910.4167,602,712,250,122.5,1.208333333,2.125
Seattle - Columbia City,2019,635458.3333,453,556,308,280,0.291666667,13.125
Seattle - Columbia City,2020,674889.5833,503,694,352,156.5,-1,-10.29166667
Seattle - Columbia City,2021,684750,88,91,37,28,0,-18
Seattle - Magnolia,2012,483931.8182,966,1148,903,297,-1.727272727,-22.68181818
Seattle - Magnolia,2013,557987.5,1314,1517,786,159.5,-1.583333333,-15.95833333
Seattle - Magnolia,2014,614497.2083,1271,1446,690,180,0,1.708333333
Seattle - Magnolia,2015,661043.75,1375,1423,441,116.5,-0.583333333,-5.291666667
Seattle - Magnolia,2016,742716.6667,1272,1352,437,115,0.166666667,-0.125
Seattle - Magnolia,2017,797439.5417,1535,1630,469,100.5,-0.166666667,-1.208333333
Seattle - Magnolia,2018,960851.6667,1178,1398,598,154,1.333333333,4.458333333
Seattle - Magnolia,2019,904962.5,1251,1455,741,231.5,-0.833333333,6.458333333
Seattle - Magnolia,2020,958726.6667,1464,1669,580,123.5,-0.208333333,-9
Seattle - Magnolia,2021,1059000,210,189,68,38.5,4.5,-0.75
Seattle - Queen Anne,2012,447568.1818,1611,1918,1392,324.5,-4,-31.59090909
Seattle - Queen Anne,2013,485220.8333,2010,2459,1417,216.5,0.208333333,-14.45833333
Seattle - Queen Anne,2014,500200,2025,2191,1079,223.5,0,0.583333333
Seattle - Queen Anne,2015,543083.2917,2129,2295,752,147,-1.25,-6.375
Seattle - Queen Anne,2016,651766.6667,2193,2415,806,110,0.25,-3.083333333
Seattle - Queen Anne,2017,769070.3333,2349,2450,607,109.5,-0.333333333,-0.041666667
Seattle - Queen Anne,2018,825420.8333,1863,2477,1143,157.5,1.958333333,4
Seattle - Queen Anne,2019,818671.6667,2001,2481,1660,322,-0.375,13.70833333
Seattle - Queen Anne,2020,851331.6667,2134,2913,1648,239,-0.666666667,-6.916666667
