Region,Year of Period End,Median Sale Price
Seattle - Beacon Hill,2012,258561.3636
Seattle - Beacon Hill,2013,299791.6667
Seattle - Beacon Hill,2014,338349.7917
Seattle - Beacon Hill,2015,396558.1667
Seattle - Beacon Hill,2016,460825
Seattle - Beacon Hill,2017,548558.3333
Seattle - Beacon Hill,2018,612187.5
Seattle - Beacon Hill,2019,592164.5833
Seattle - Beacon Hill,2020,626477.0833
Seattle - Beacon Hill,2021,642497.5
Seattle - Belltown,2012,357772.7273
Seattle - Belltown,2013,383791.6667
Seattle - Belltown,2014,386391.6667
Seattle - Belltown,2015,399789.5833
Seattle - Belltown,2016,456260.4167
Seattle - Belltown,2017,555541.6667
Seattle - Belltown,2018,605625
Seattle - Belltown,2019,542458.3333
Seattle - Belltown,2020,563208.3333
Seattle - Belltown,2021,581000
Seattle - Capitol Hill,2012,348952.0455
Seattle - Capitol Hill,2013,363920.8333
Seattle - Capitol Hill,2014,379963.875
Seattle - Capitol Hill,2015,420762.5
Seattle - Capitol Hill,2016,494737.5
Seattle - Capitol Hill,2017,570366.6667
Seattle - Capitol Hill,2018,643743.75
Seattle - Capitol Hill,2019,593783.3333
Seattle - Capitol Hill,2020,638237.5
Seattle - Capitol Hill,2021,748237.5
Seattle - Columbia City,2012,288575
Seattle - Columbia City,2013,359292.1667
Seattle - Columbia City,2014,369806.25
Seattle - Columbia City,2015,435898.1667
Seattle - Columbia City,2016,491577.0833
Seattle - Columbia City,2017,618912.5
Seattle - Columbia City,2018,667910.4167
Seattle - Columbia City,2019,635458.3333
Seattle - Columbia City,2020,674889.5833
Seattle - Columbia City,2021,684750
Seattle - Magnolia,2012,483931.8182
Seattle - Magnolia,2013,557987.5
Seattle - Magnolia,2014,614497.2083
Seattle - Magnolia,2015,661043.75
Seattle - Magnolia,2016,742716.6667
Seattle - Magnolia,2017,797439.5417
Seattle - Magnolia,2018,960851.6667
Seattle - Magnolia,2019,904962.5
Seattle - Magnolia,2020,958726.6667
Seattle - Magnolia,2021,1059000
Seattle - Queen Anne,2012,447568.1818
Seattle - Queen Anne,2013,485220.8333
Seattle - Queen Anne,2014,500200
Seattle - Queen Anne,2015,543083.2917
Seattle - Queen Anne,2016,651766.6667
Seattle - Queen Anne,2017,769070.3333
Seattle - Queen Anne,2018,825420.8333
Seattle - Queen Anne,2019,818671.6667
Seattle - Queen Anne,2020,851331.6667
Seattle - Queen Anne,2021,844475
Seattle - South Lake Union,2012,364363.6364
Seattle - South Lake Union,2013,330680.8333
Seattle - South Lake Union,2014,323139.5833
Seattle - South Lake Union,2015,397333.3333
Seattle - South Lake Union,2016,427593.3333
Seattle - South Lake Union,2017,504477.0833
Seattle - South Lake Union,2018,572454.1667
Seattle - South Lake Union,2019,520187.5
Seattle - South Lake Union,2020,516745.4167
Seattle - South Lake Union,2021,566737.5
Seattle - Wallingford,2012,512954.5455
Seattle - Wallingford,2013,547604.1667
Seattle - Wallingford,2014,620425.4167
Seattle - Wallingford,2015,658412
Seattle - Wallingford,2016,730708.3333
Seattle - Wallingford,2017,832862.4583
Seattle - Wallingford,2018,899833.3333
Seattle - Wallingford,2019,866539.5833
Seattle - Wallingford,2020,897033.3333
Seattle - Wallingford,2021,880187.5
Seattle - West Seattle,2012,323918.1818
Seattle - West Seattle,2013,363823.8333
Seattle - West Seattle,2014,392037.5
Seattle - West Seattle,2015,438207.5
Seattle - West Seattle,2016,500319.9583
Seattle - West Seattle,2017,576388.5
Seattle - West Seattle,2018,644187.5
Seattle - West Seattle,2019,627662.5
Seattle - West Seattle,2020,661733.3333
