Date,AMZN,BA,MSFT,BTC,Gold,30 T-Bond,Median Sale Price
2012-02-29,179.69,74.95,31.74,0.0,1716.6,3.08,309511.1111
2012-03-31,202.51,74.37,32.26,0.0,1674.3,3.35,313230.5556
2012-04-30,231.9,76.8,32.02,0.0,1666.5,3.12,325841.1111
2012-05-31,212.91,69.61,29.19,0.0,1564.2,2.67,335194.4444
2012-06-30,228.35,74.3,30.59,0.0,1604.2,2.76,331952.2222
2012-07-31,233.3,73.91,29.47,0.0,1612.4,2.56,330245.5
2012-08-31,248.27,71.4,30.82,0.0,1685.3,2.68,337523.3333
2012-09-30,254.32,69.6,29.76,0.0,1776.1,2.82,330608.3333
2012-10-31,232.89,70.44,28.54,0.0,1721.3,2.85,333561.6667
2012-11-30,252.05,74.28,26.62,0.0,1712.7,2.81,332327.7778
2012-12-31,250.87,75.36,26.71,0.0,1675.8,2.95,330650.0
2013-01-31,265.5,73.87,27.45,0.0,1662.0,3.17,339657.2222
2013-02-28,264.27,76.9,27.8,0.0,1578.1,3.1,349783.6222
2013-03-31,266.49,85.85,28.61,0.0,1597.4,3.1,360297.6444
2013-04-30,253.81,91.41,33.1,0.0,1472.7,2.88,362656.0889
2013-05-31,269.2,99.02,34.9,0.0,1392.8,3.3,372262.2222
2013-06-30,277.69,102.44,34.55,0.0,1223.8,3.52,379871.2444
2013-07-31,301.22,105.1,31.84,0.0,1312.4,3.64,375170.0
2013-08-31,280.98,103.92,33.4,0.0,1395.9,3.7,388242.2222
2013-09-30,312.64,117.5,33.28,0.0,1326.8,3.69,366008.8889
2013-10-31,364.03,130.5,35.41,196.02,1324.1,3.63,362493.3333
2013-11-30,393.62,134.25,38.13,1068.36,1250.5,3.82,372315.5556
2013-12-31,398.79,136.49,37.41,744.17,1201.9,3.96,358266.1111
2014-01-31,358.69,125.26,37.84,841.49,1239.8,3.61,369211.1111
2014-02-28,362.1,128.92,38.31,567.29,1321.4,3.59,385262.3333
2014-03-31,336.37,125.49,40.99,472.48,1283.7,3.56,397587.7778
2014-04-30,304.13,129.02,40.4,444.86,1295.6,3.47,403258.8889
2014-05-31,312.55,135.25,40.94,571.85,1252.0,3.33,399806.6111
2014-06-30,324.78,127.23,41.7,597.51,1325.9,3.34,399855.9222
2014-07-31,312.99,120.48,43.16,564.57,1281.7,3.32,399748.1444
2014-08-31,339.04,126.8,45.43,506.03,1291.4,3.09,396835.5556
2014-09-30,322.44,127.38,46.36,376.08,1218.0,3.21,395793.3333
2014-10-31,305.46,124.91,46.95,343.56,1175.0,3.07,412346.6667
2014-11-30,338.64,134.36,47.81,368.98,1177.3,2.89,403977.2222
2014-12-31,310.35,129.98,46.45,309.9,1186.4,2.75,403921.1111
2015-01-31,354.53,145.37,40.4,233.14,1281.3,2.25,391649.7778
2015-02-28,380.16,150.85,43.85,251.29,1215.4,2.6,412602.7111
2015-03-31,372.1,150.08,40.66,247.26,1184.9,2.54,436112.2222
