,Region,Median Sale Price
0,Mercer Island,1251385.3211009174
1,Sammamish,796449.5412844036
2,Seattle - Magnolia,750641.7981651376
3,Bellevue,744284.4036697248
4,Seattle - Wallingford,734347.6926605505
5,Newcastle,701944.9541284404
6,Bainbridge Island,685449.5412844036
7,Redmond,683926.6055045872
8,Woodinville,660587.1559633027
9,Seattle - Queen Anne,660086.0871559633
10,Kirkland,624944.9541284404
11,Issaquah,596651.3761467889
12,Snoqualmie,589394.495412844
13,Lake Forest Park,575119.2660550459
14,Seattle,561330.2752293578
