Date,AMZN,BA,MSFT,BTC,Gold,30 T-Bond
2/1/2012, 179.46 , 75.37 , 29.89 ,," 1,754.80 ", 3.01 
2/2/2012, 181.72 , 75.22 , 29.95 ,," 1,764.60 ", 3.01 
2/3/2012, 187.68 , 76.34 , 30.24 ,," 1,745.50 ", 3.13 
2/6/2012, 183.14 , 75.46 , 30.20 ,," 1,730.10 ", 3.08 
2/7/2012, 184.19 , 75.20 , 30.35 ,," 1,753.70 ", 3.14 
2/8/2012, 185.48 , 75.46 , 30.66 ,," 1,736.60 ", 3.14 
2/9/2012, 184.98 , 75.90 , 30.77 ,," 1,746.60 ", 3.20 
2/10/2012, 185.54 , 74.95 , 30.50 ,," 1,730.70 ", 3.11 
2/13/2012, 191.59 , 74.85 , 30.58 ,," 1,730.30 ", 3.14 
2/14/2012, 191.30 , 75.56 , 30.25 ,," 1,722.90 ", 3.06 
2/15/2012, 184.47 , 75.21 , 30.05 ,," 1,733.40 ", 3.09 
2/16/2012, 179.93 , 75.27 , 31.29 ,," 1,733.70 ", 3.14 
2/17/2012, 182.50 , 75.35 , 31.25 ,," 1,731.30 ", 3.16 
2/21/2012, 182.26 , 75.72 , 31.44 ,," 1,764.10 ", 3.20 
2/22/2012, 180.58 , 76.06 , 31.27 ,," 1,776.80 ", 3.15 
2/23/2012, 178.89 , 75.85 , 31.37 ,," 1,792.00 ", 3.13 
2/24/2012, 179.13 , 76.06 , 31.48 ,," 1,782.00 ", 3.10 
2/27/2012, 178.53 , 75.21 , 31.35 ,," 1,780.40 ", 3.04 
2/28/2012, 183.80 , 75.16 , 31.87 ,," 1,793.90 ", 3.07 
2/29/2012, 179.69 , 74.95 , 31.74 ,," 1,716.60 ", 3.08 
3/1/2012, 180.04 , 75.08 , 32.29 ,," 1,727.60 ", 3.15 
3/2/2012, 179.30 , 74.90 , 32.08 ,," 1,715.20 ", 3.11 
3/5/2012, 180.26 , 74.13 , 31.80 ,," 1,709.30 ", 3.13 
3/6/2012, 181.09 , 72.56 , 31.56 ,," 1,677.50 ", 3.08 
3/7/2012, 183.77 , 73.52 , 31.84 ,," 1,689.40 ", 3.12 
3/8/2012, 187.64 , 74.17 , 32.01 ,," 1,704.10 ", 3.18 
3/9/2012, 184.32 , 73.29 , 31.99 ,," 1,716.90 ", 3.19 
3/12/2012, 183.39 , 73.60 , 32.04 ,," 1,705.00 ", 3.17 
3/13/2012, 184.59 , 74.31 , 32.67 ,," 1,699.30 ", 3.26 
3/14/2012, 182.26 , 75.23 , 32.77 ,," 1,647.70 ", 3.43 
3/15/2012, 184.43 , 75.43 , 32.85 ,," 1,664.20 ", 3.41 
3/16/2012, 185.05 , 75.20 , 32.60 ,," 1,660.50 ", 3.41 
3/19/2012, 185.52 , 75.40 , 32.20 ,," 1,672.10 ", 3.48 
3/20/2012, 192.33 , 75.14 , 31.99 ,," 1,651.70 ", 3.46 
3/21/2012, 191.73 , 75.01 , 31.91 ,," 1,655.00 ", 3.38 
3/22/2012, 192.40 , 73.92 , 32.00 ,," 1,647.20 ", 3.37 
3/23/2012, 195.04 , 73.97 , 32.01 ,," 1,667.30 ", 3.31 
3/26/2012, 202.87 , 75.18 , 32.59 ,," 1,690.60 ", 3.33 
3/27/2012, 205.44 , 74.81 , 32.52 ,," 1,690.10 ", 3.29 
3/28/2012, 201.16 , 74.33 , 32.19 ,," 1,662.90 ", 3.31 
3/29/2012, 204.61 , 74.08 , 32.12 ,," 1,657.20 ", 3.27 
3/30/2012, 202.51 , 74.37 , 32.26 ,," 1,674.30 ", 3.35 
4/2/2012, 198.05 , 75.17 , 32.29 ,," 1,682.20 ", 3.35 
4/3/2012, 199.66 , 74.65 , 31.94 ,," 1,674.40 ", 3.41 
4/4/2012, 193.99 , 73.67 , 31.21 ,," 1,616.40 ", 3.37 
4/5/2012, 194.39 , 73.59 , 31.52 ,," 1,632.40 ", 3.32 
4/9/2012, 191.87 , 72.43 , 31.10 ,," 1,646.30 ", 3.18 
4/10/2012, 186.98 , 70.60 , 30.47 ,," 1,663.00 ", 3.13 
4/11/2012, 187.97 , 71.77 , 30.35 ,," 1,662.60 ", 3.18 
4/12/2012, 190.69 , 73.50 , 30.98 ,," 1,682.80 ", 3.22 
4/13/2012, 188.46 , 72.92 , 30.81 ,," 1,662.40 ", 3.14 
4/16/2012, 185.50 , 72.68 , 31.08 ,," 1,651.90 ", 3.12 
4/17/2012, 188.39 , 74.09 , 31.44 ,," 1,653.30 ", 3.15 
4/18/2012, 191.07 , 73.71 , 31.14 ,," 1,641.80 ", 3.13 
4/19/2012, 191.10 , 73.10 , 31.01 ,," 1,643.60 ", 3.12 
4/20/2012, 189.98 , 73.55 , 32.42 ,," 1,645.00 ", 3.12 
4/23/2012, 188.24 , 72.86 , 32.12 ,," 1,634.80 ", 3.08 
