Dates,"Tableau Software, Inc. (NYSE:DATA) - Share Pricing"
May-17-2013,50.75
May-20-2013,53.45
May-21-2013,53.25
May-22-2013,50.26
May-23-2013,52.92
May-24-2013,52.49
May-28-2013,50.67
May-29-2013,50.30
May-30-2013,51.11
May-31-2013,51.10
Jun-03-2013,50.34
Jun-04-2013,48.53
Jun-05-2013,49.61
Jun-06-2013,53.02
Jun-07-2013,56.21
Jun-10-2013,58.11
Jun-11-2013,53.05
Jun-12-2013,55.81
Jun-13-2013,56.97
Jun-14-2013,55.47
Jun-17-2013,54.88
Jun-18-2013,54.41
Jun-19-2013,53.91
Jun-20-2013,55.40
Jun-21-2013,55.27
Jun-24-2013,54.93
Jun-25-2013,54.42
Jun-26-2013,56.68
Jun-27-2013,56.41
Jun-28-2013,55.42
Jul-01-2013,58.80
Jul-02-2013,58.25
Jul-03-2013,60.10
Jul-05-2013,62.86
Jul-08-2013,60.99
Jul-09-2013,57.14
Jul-10-2013,56.60
Jul-11-2013,55.76
Jul-12-2013,53.50
Jul-15-2013,53.82
Jul-16-2013,55.18
Jul-17-2013,56.67
Jul-18-2013,55.22
Jul-19-2013,53.81
Jul-22-2013,53.01
Jul-23-2013,52.07
Jul-24-2013,53.59
Jul-25-2013,54.50
Jul-26-2013,53.75
Jul-29-2013,53.48
Jul-30-2013,53.81
Jul-31-2013,55.40
Aug-01-2013,57.62
Aug-02-2013,59.85
Aug-05-2013,60.12
Aug-06-2013,59.54
Aug-07-2013,59.60
Aug-08-2013,60.94
Aug-09-2013,67.82
Aug-12-2013,72.70
Aug-13-2013,71.10
Aug-14-2013,66.99
Aug-15-2013,65.17
Aug-16-2013,66.57
Aug-19-2013,64.98
Aug-20-2013,63.83
Aug-21-2013,63.35
Aug-22-2013,64.00
Aug-23-2013,67.67
Aug-26-2013,68.37
Aug-27-2013,66.28
Aug-28-2013,68.07
Aug-29-2013,70.04
Aug-30-2013,72.31
Sep-03-2013,71.42
Sep-04-2013,74.20
Sep-05-2013,72.97
Sep-06-2013,70.69
Sep-09-2013,72.47
Sep-10-2013,74.75
Sep-11-2013,71.99
Sep-12-2013,73.11
Sep-13-2013,72.70
Sep-16-2013,71.96
Sep-17-2013,72.10
Sep-18-2013,72.82
Sep-19-2013,74.06
Sep-20-2013,73.04
Sep-23-2013,72.81
Sep-24-2013,71.89
Sep-25-2013,71.86
Sep-26-2013,72.52
Sep-27-2013,69.23
Sep-30-2013,71.24
Oct-01-2013,71.44
Oct-02-2013,73.08
Oct-03-2013,71.10
Oct-04-2013,70.41
Oct-07-2013,70.28
Oct-08-2013,67.56
Oct-09-2013,66.34
Oct-10-2013,66.32
Oct-11-2013,66.50
Oct-14-2013,66.69
Oct-15-2013,64.74
Oct-16-2013,67.83
Oct-17-2013,68.42
Oct-18-2013,67.81
Oct-21-2013,65.98
Oct-22-2013,63.41
Oct-23-2013,60.93
Oct-24-2013,64.21
Oct-25-2013,63.66
Oct-28-2013,63.21
Oct-29-2013,65.45
Oct-30-2013,64.16
Oct-31-2013,61.46
Nov-01-2013,59.52
Nov-04-2013,60.00
Nov-05-2013,64.00
Nov-06-2013,65.13
Nov-07-2013,64.00
Nov-08-2013,64.45
Nov-11-2013,64.20
Nov-12-2013,63.80
Nov-13-2013,65.23
Nov-14-2013,65.57
Nov-15-2013,65.29
Nov-18-2013,61.73
Nov-19-2013,60.71
Nov-20-2013,60.78
Nov-21-2013,62.02
Nov-22-2013,63.63
Nov-25-2013,62.52
Nov-26-2013,64.48
Nov-27-2013,65.89
Nov-29-2013,65.54
Dec-02-2013,64.24
Dec-03-2013,65.61
Dec-04-2013,66.52
Dec-05-2013,66.64
Dec-06-2013,66.29
Dec-09-2013,65.71
Dec-10-2013,66.25
Dec-11-2013,65.44
