"zip","city","latitude","longitude"
98001,"Auburn",47.303722,-122.26608
98002,"Auburn",47.304221,-122.21602
98003,"Federal Way",47.311072,-122.31188
98004,"Bellevue",47.618371,-122.20308
98005,"Bellevue",47.611021,-122.16858
98006,"Bellevue",47.562975,-122.1526
98007,"Bellevue",47.610935,-122.14104
98008,"Bellevue",47.609222,-122.1155
98009,"Bellevue",47.432251,-121.803388
98011,"Bothell",47.751471,-122.20257
98012,"Bothell",47.84311,-122.20457
98015,"Bellevue",47.432251,-121.803388
98019,"Duvall",47.7353,-121.96222
98020,"Edmonds",47.803668,-122.37096
98021,"Bothell",47.790653,-122.22021
98022,"Enumclaw",47.193729,-121.91915
98023,"Federal Way",47.309021,-122.36178
98026,"Edmonds",47.821568,-122.33651
98027,"Issaquah",47.522828,-122.02921
98028,"Kenmore",47.75287,-122.24736
98029,"Issaquah",47.572401,-122.02065
98030,"Kent",47.369098,-122.192276
98031,"Kent",47.388461,-122.19644
98032,"Kent",47.388254,-122.25932
98033,"Kirkland",47.67903,-122.1934
98034,"Kirkland",47.71828,-122.19702
98035,"Kent",47.432251,-121.803388
98036,"Lynnwood",47.808816,-122.28394
98037,"Lynnwood",47.848237,-122.28348
98038,"Maple Valley",47.381989,-122.03553
98040,"Mercer Island",47.569271,-122.23233
98041,"Bothell",47.432251,-121.803388
98042,"Kent",47.363382,-122.11451
98043,"Mountlake Terrace",47.790969,-122.30539
98046,"Lynnwood",48.037258,-121.682271
98052,"Redmond",47.677471,-122.12138
98053,"Redmond",47.640972,-122.03318
98055,"Renton",47.467422,-122.21005
98056,"Renton",47.510739,-122.18372
98057,"Renton",47.432251,-121.803388
98058,"Renton",47.448322,-122.14584
98059,"Renton",47.493031,-122.14169
98060,"Seattle",47.432251,-121.803388
98063,"Federal Way",47.432251,-121.803388
98064,"Kent",47.432251,-121.803388
98067,"Bellevue",47.617634,-122.140193
98071,"Auburn",47.432251,-121.803388
98072,"Woodinville",47.758786,-122.10205
98073,"Redmond",47.432251,-121.803388
98074,"Sammamish",47.625364,-122.045347
98075,"Sammamish",47.584879,-122.033685
98082,"Bothell",47.432251,-121.803388
