Region,Date,Year,Month,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
"Auburn, WA",1/31/2012,2012,2,$188K,-11.5%,-14.5%,81,24.6%,42.1%,118,29.7%,1.7%,447,-8.8%,-21.3%,107,38,10,97.0%,-1.2%,-1.5%
"Auburn, WA",2/29/2012,2012,3,$206K,9.7%,-9.0%,102,25.9%,8.5%,161,36.4%,19.3%,461,3.1%,-17.1%,97,-10,17,98.6%,1.6%,1.6%
"Auburn, WA",3/31/2012,2012,4,$197K,-4.5%,-13.6%,97,-4.9%,4.3%,149,-7.5%,0.0%,439,-4.8%,-21.0%,88,-9,-9,98.3%,-0.3%,-0.6%
"Auburn, WA",4/30/2012,2012,5,$209K,6.1%,-4.9%,127,30.9%,32.3%,168,12.8%,4.3%,443,0.9%,-25.7%,73,-15,-26,99.1%,0.8%,1.1%
"Auburn, WA",5/31/2012,2012,6,$225K,7.7%,1.4%,109,-14.2%,21.1%,147,-12.5%,-2.6%,415,-6.3%,-31.5%,58,-15,-20,99.5%,0.4%,1.3%
"Auburn, WA",6/30/2012,2012,7,$220K,-2.2%,11.4%,123,12.8%,51.9%,154,4.8%,6.9%,428,3.1%,-29.5%,50,-8,-28,99.2%,-0.3%,0.8%
"Auburn, WA",7/31/2012,2012,8,$212K,-3.6%,-11.9%,132,7.3%,24.5%,167,8.4%,22.8%,439,2.6%,-25.6%,60,10,1,99.4%,0.2%,1.2%
"Auburn, WA",8/31/2012,2012,9,$220K,3.8%,1.4%,108,-18.2%,0.0%,127,-24.0%,4.1%,419,-4.6%,-27.4%,53,-7,-12,99.9%,0.5%,1.5%
"Auburn, WA",9/30/2012,2012,10,$230K,4.6%,13.9%,129,19.4%,67.5%,115,-9.4%,-7.3%,377,-10.0%,-35.3%,62,9,-23,99.7%,-0.2%,2.1%
"Auburn, WA",10/31/2012,2012,11,$245K,6.5%,39.6%,110,-14.7%,37.5%,103,-10.4%,18.4%,354,-6.1%,-34.0%,45,-17,-34,99.8%,0.0%,2.3%
"Auburn, WA",11/30/2012,2012,12,$238K,-2.9%,7.4%,114,3.6%,14.0%,112,8.7%,24.4%,341,-3.7%,-34.8%,50,5,-44,98.8%,-0.9%,1.5%
"Auburn, WA",12/31/2012,2012,1,$247K,3.8%,16.2%,111,-2.6%,70.8%,119,6.3%,30.8%,328,-3.8%,-33.1%,52,2,-17,99.1%,0.2%,0.9%
"Auburn, WA",1/31/2013,2013,2,$241K,-2.3%,28.3%,102,-8.1%,25.9%,148,24.4%,25.4%,313,-4.6%,-30.0%,78,26,-29,99.4%,0.3%,2.4%
"Auburn, WA",2/28/2013,2013,3,$240K,-0.6%,16.3%,143,40.2%,40.2%,176,18.9%,9.3%,300,-4.2%,-34.9%,57,-21,-40,99.1%,-0.3%,0.5%
"Auburn, WA",3/31/2013,2013,4,$248K,3.3%,25.7%,118,-17.5%,21.6%,196,11.4%,31.5%,318,6.0%,-27.6%,41,-16,-47,99.9%,0.8%,1.5%
"Auburn, WA",4/30/2013,2013,5,$260K,5.0%,24.4%,150,27.1%,18.1%,189,-3.6%,12.5%,317,-0.3%,-28.4%,24,-17,-49,99.6%,-0.2%,0.5%
"Auburn, WA",5/31/2013,2013,6,$250K,-3.8%,11.1%,156,4.0%,43.1%,191,1.1%,29.9%,362,14.2%,-12.8%,33,9,-25,101.1%,1.5%,1.6%
"Auburn, WA",6/30/2013,2013,7,$250K,0.0%,13.7%,170,9.0%,38.2%,181,-5.2%,17.5%,394,8.8%,-7.9%,23,-10,-27,100.1%,-1.1%,0.9%
"Auburn, WA",7/31/2013,2013,8,$255K,2.0%,20.3%,158,-7.1%,19.7%,157,-13.3%,-6.0%,403,2.3%,-8.2%,19,-4,-41,100.8%,0.7%,1.4%
"Auburn, WA",8/31/2013,2013,9,$262K,2.9%,19.2%,143,-9.5%,32.4%,176,12.1%,38.6%,428,6.2%,2.1%,28,9,-25,100.4%,-0.4%,0.5%
"Auburn, WA",9/30/2013,2013,10,$257K,-2.1%,11.7%,137,-4.2%,6.2%,158,-10.2%,37.4%,428,0.0%,13.5%,35,7,-27,99.8%,-0.6%,0.1%
"Auburn, WA",10/31/2013,2013,11,$273K,6.2%,11.3%,133,-2.9%,20.9%,124,-21.5%,20.4%,410,-4.2%,15.8%,49,14,4,99.5%,-0.3%,-0.3%
"Auburn, WA",11/30/2013,2013,12,$289K,5.9%,21.4%,144,8.3%,26.3%,83,-33.1%,-25.9%,368,-10.2%,7.9%,52,3,2,98.7%,-0.9%,-0.2%
"Auburn, WA",12/31/2013,2013,1,$255K,-11.7%,3.3%,85,-41.0%,-23.4%,131,57.8%,10.1%,356,-3.3%,8.5%,46,-6,-6,98.7%,0.1%,-0.3%
"Auburn, WA",1/31/2014,2014,2,$259K,1.4%,7.3%,100,17.6%,-2.0%,129,-1.5%,-12.8%,368,3.4%,17.6%,67,21,-11,99.8%,1.0%,0.4%
"Auburn, WA",2/28/2014,2014,3,$270K,4.3%,12.5%,126,26.0%,-11.9%,172,33.3%,-2.3%,364,-1.1%,21.3%,46,-21,-11,101.1%,1.3%,2.0%
"Auburn, WA",3/31/2014,2014,4,$274K,1.5%,10.6%,155,23.0%,31.4%,177,2.9%,-9.7%,368,1.1%,15.7%,31,-15,-10,99.9%,-1.2%,0.1%
"Auburn, WA",4/30/2014,2014,5,$267K,-2.4%,2.9%,152,-1.9%,1.3%,205,15.8%,8.5%,370,0.5%,16.7%,35,4,11,100.6%,0.7%,1.0%
"Auburn, WA",5/31/2014,2014,6,$280K,4.7%,12.0%,175,15.1%,12.2%,173,-15.6%,-9.4%,380,2.7%,5.0%,29,-6,-4,99.7%,-0.9%,-1.4%
"Auburn, WA",6/30/2014,2014,7,$275K,-1.9%,9.9%,170,-2.9%,0.0%,194,12.1%,7.2%,427,12.4%,8.4%,24,-5,1,99.5%,-0.2%,-0.6%
"Auburn, WA",7/31/2014,2014,8,$267K,-2.7%,4.8%,144,-15.3%,-8.9%,177,-8.8%,12.7%,458,7.3%,13.6%,29,5,10,99.5%,0.1%,-1.3%
"Auburn, WA",8/31/2014,2014,9,$281K,5.1%,7.1%,109,-24.3%,-23.8%,137,-22.6%,-22.2%,441,-3.7%,3.0%,36,7,8,99.3%,-0.2%,-1.2%
"Auburn, WA",9/30/2014,2014,10,$272K,-3.1%,6.0%,130,19.3%,-5.1%,126,-8.0%,-20.3%,404,-8.4%,-5.6%,44,8,9,99.4%,0.1%,-0.4%
"Auburn, WA",10/31/2014,2014,11,$270K,-0.8%,-1.0%,120,-7.7%,-9.8%,102,-19.0%,-17.7%,377,-6.7%,-8.0%,50,6,1,98.8%,-0.6%,-0.7%
"Auburn, WA",11/30/2014,2014,12,$282K,4.4%,-2.4%,154,28.3%,6.9%,101,-1.0%,21.7%,347,-8.0%,-5.7%,49,-1,-3,99.5%,0.7%,0.8%
"Auburn, WA",12/31/2014,2014,1,$290K,2.8%,13.7%,85,-44.8%,0.0%,123,21.8%,-6.1%,321,-7.5%,-9.8%,49,0,3,99.0%,-0.5%,0.2%
"Auburn, WA",1/31/2015,2015,2,$275K,-5.3%,6.1%,94,10.6%,-6.0%,139,13.0%,7.8%,303,-5.6%,-17.7%,53,4,-14,99.0%,0.0%,-0.8%
"Auburn, WA",2/28/2015,2015,3,$279K,1.8%,3.5%,146,55.3%,15.9%,193,38.8%,12.2%,317,4.6%,-12.9%,50,-3,4,99.4%,0.4%,-1.7%
"Auburn, WA",3/31/2015,2015,4,$300K,7.3%,9.5%,141,-3.4%,-9.0%,217,12.4%,22.6%,322,1.6%,-12.5%,26,-24,-5,99.7%,0.3%,-0.2%
"Auburn, WA",4/30/2015,2015,5,$289K,-3.8%,7.9%,174,23.4%,14.5%,215,-0.9%,4.9%,349,8.4%,-5.7%,19,-7,-16,100.2%,0.5%,-0.4%
"Auburn, WA",5/31/2015,2015,6,$316K,9.4%,12.7%,176,1.1%,0.6%,191,-11.2%,10.4%,330,-5.4%,-13.2%,17,-2,-12,100.3%,0.1%,0.6%
"Auburn, WA",6/30/2015,2015,7,$325K,3.1%,18.4%,211,19.9%,24.1%,201,5.2%,3.6%,348,5.5%,-18.5%,21,4,-3,100.5%,0.2%,1.1%
"Auburn, WA",7/31/2015,2015,8,$306K,-6.0%,14.4%,170,-19.4%,18.1%,158,-21.4%,-10.7%,349,0.3%,-23.8%,24,3,-5,99.7%,-0.8%,0.2%
"Auburn, WA",8/31/2015,2015,9,$302K,-1.2%,7.5%,155,-8.8%,42.2%,152,-3.8%,10.9%,336,-3.7%,-23.8%,25,1,-11,99.6%,-0.1%,0.3%
"Auburn, WA",9/30/2015,2015,10,$307K,1.5%,12.6%,148,-4.5%,13.8%,129,-15.1%,2.4%,310,-7.7%,-23.3%,23,-2,-21,100.4%,0.8%,1.0%
