Date,Median Sale Price,,
2/29/2012,309511.1111,,
3/31/2012,313230.5556,,
4/30/2012,325841.1111,,
5/31/2012,335194.4444,,
6/30/2012,331952.2222,,
7/31/2012,330245.5,,
8/31/2012,337523.3333,,
9/30/2012,330608.3333,,
10/31/2012,333561.6667,,
11/30/2012,332327.7778,,
12/31/2012,330650,,
1/31/2013,339657.2222,,
2/28/2013,349783.6222,,
3/31/2013,360297.6444,,
4/30/2013,362656.0889,,
5/31/2013,372262.2222,,
6/30/2013,379871.2444,,
7/31/2013,375170,,
8/31/2013,388242.2222,,
9/30/2013,366008.8889,,
10/31/2013,362493.3333,,
11/30/2013,372315.5556,,
12/31/2013,358266.1111,,
1/31/2014,369211.1111,,
2/28/2014,385262.3333,,
3/31/2014,397587.7778,,
4/30/2014,403258.8889,,
5/31/2014,399806.6111,,
6/30/2014,399855.9222,,
7/31/2014,399748.1444,,
8/31/2014,396835.5556,,
9/30/2014,395793.3333,,
10/31/2014,412346.6667,,
11/30/2014,403977.2222,,
12/31/2014,403921.1111,,
1/31/2015,391649.7778,,
2/28/2015,412602.7111,,
3/31/2015,436112.2222,,
4/30/2015,430447.7667,,
5/31/2015,447160.5111,,
6/30/2015,444727.2222,,
7/31/2015,444449.4444,,
8/31/2015,428203.3333,,
9/30/2015,436911.1111,,
10/31/2015,437421.6667,,
11/30/2015,451994.4444,,
12/31/2015,454487.1111,,
1/31/2016,459521.1111,,
2/29/2016,479288.8889,,
3/31/2016,473746.6667,,
4/30/2016,493876.9889,,
5/31/2016,490546.6667,,
6/30/2016,489333.8889,,
7/31/2016,494676.1111,,
8/31/2016,486051.1111,,
9/30/2016,482577.2222,,
10/31/2016,489641.1111,,
11/30/2016,507987.7778,,
12/31/2016,513077.2222,,
1/31/2017,534542.7778,,
2/28/2017,540705.8222,,
3/31/2017,547232.0778,,
4/30/2017,560877.2111,,
5/31/2017,569283.3333,,
6/30/2017,572198.8889,,
7/31/2017,571344.4444,,
8/31/2017,571043.8889,,
9/30/2017,568687.2222,,
10/31/2017,576437.2222,,
11/30/2017,585445.5556,,
12/31/2017,584340,,
1/31/2018,609682.2222,,
2/28/2018,621042.7778,,
3/31/2018,625411.1111,,
4/30/2018,637066.6667,,
5/31/2018,642215,,
6/30/2018,628308.5556,,
7/31/2018,621475.2222,,
8/31/2018,593622.2222,,
9/30/2018,610198.8889,,
10/31/2018,594951.1111,,
11/30/2018,617810,,
12/31/2018,586943.3333,,
1/31/2019,585116.6667,,
2/28/2019,611266.8889,,
3/31/2019,605751.1111,,
4/30/2019,618877.7778,,
5/31/2019,642893.8889,,
6/30/2019,622221.6667,,
7/31/2019,623016.1111,,
8/31/2019,610882.7778,,
9/30/2019,616177.7778,,
10/31/2019,602177.7778,,
11/30/2019,621666.6667,,
12/31/2019,601426.6667,,
1/31/2020,630895,,
2/29/2020,643223.8333,,
3/31/2020,629539.3889,,
4/30/2020,656894.4444,,
5/31/2020,663758.8889,,
6/30/2020,681912.2222,,
7/31/2020,687795.5556,,
8/31/2020,686409.4444,,
9/30/2020,690997.7778,,
10/31/2020,694154.4444,,
11/30/2020,709672.2222,,
12/31/2020,706686.6667,,
1/31/2021,715974.3333,,
