Date,AMZN,Median Sale Price
2012-02-29,179.69,297736.8421
2012-03-31,202.51,300131.5789
2012-04-30,231.9,311921.0526
2012-05-31,212.91,324657.8947
2012-06-30,228.35,318684.2105
2012-07-31,233.3,319342.1053
2012-08-31,248.27,326789.4737
2012-09-30,254.32,320000.0
2012-10-31,232.89,324000.0
2012-11-30,252.05,320605.2632
2012-12-31,250.87,314184.2105
2013-01-31,265.5,329105.2632
2013-02-28,264.27,339973.6842
2013-03-31,266.49,350289.4737
2013-04-30,253.81,352210.5263
2013-05-31,269.2,363157.8947
2013-06-30,277.69,371763.1579
2013-07-31,301.22,365078.9474
2013-08-31,280.98,378473.6842
2013-09-30,312.64,353394.7368
2013-10-31,364.03,350315.7895
2013-11-30,393.62,362368.4211
2013-12-31,398.79,344763.1579
2014-01-31,358.69,357815.7895
2014-02-28,362.1,372289.4737
2014-03-31,336.37,387921.0526
2014-04-30,304.13,395342.1053
2014-05-31,312.55,391578.9474
2014-06-30,324.78,388789.4737
2014-07-31,312.99,390736.8421
2014-08-31,339.04,387789.4737
2014-09-30,322.44,386894.7368
2014-10-31,305.46,403763.1579
2014-11-30,338.64,396210.5263
2014-12-31,310.35,396342.1053
2015-01-31,354.53,381789.4737
2015-02-28,380.16,401578.9474
2015-03-31,372.1,425763.1579
2015-04-30,421.78,418631.5789
2015-05-31,429.23,435263.1579
2015-06-30,434.09,432000.0
2015-07-31,536.15,431710.5263
2015-08-31,512.89,414342.1053
2015-09-30,511.89,425421.0526
2015-10-31,625.9,424947.3684
2015-11-30,664.8,435842.1053
2015-12-31,675.89,436605.2632
2016-01-31,587.0,437342.1053
2016-02-29,552.52,463789.4737
2016-03-31,593.64,455447.3684
2016-04-30,659.59,482578.9474
2016-05-31,722.79,478526.3158
2016-06-30,715.62,477947.3684
2016-07-31,758.81,482394.7368
2016-08-31,769.16,471263.1579
2016-09-30,837.31,466500.0
2016-10-31,789.82,475473.6842
2016-11-30,750.57,492973.6842
2016-12-31,749.87,497342.1053
2017-01-31,823.48,521184.2105
2017-02-28,845.04,524578.9474
2017-03-31,886.54,533000.0
2017-04-30,924.99,546473.6842
2017-05-31,994.62,552710.5263
2017-06-30,968.0,553236.8421
2017-07-31,987.78,547868.4211
2017-08-31,980.6,546894.7368
2017-09-30,961.35,542789.4737
2017-10-31,1105.28,555394.7368
2017-11-30,1176.75,566342.1053
2017-12-31,1169.47,562078.9474
2018-01-31,1450.89,589394.7368
2018-02-28,1512.45,598789.4737
2018-03-31,1447.34,600789.4737
2018-04-30,1566.13,612684.2105
2018-05-31,1629.62,617500.0
2018-06-30,1699.8,603684.2105
2018-07-31,1777.44,595578.9474
2018-08-31,2012.71,568184.2105
2018-09-30,2003.0,589815.7895
2018-10-31,1598.01,573131.5789
2018-11-30,1690.17,601605.2632
2018-12-31,1501.97,565868.4211
2019-01-31,1718.73,567789.4737
2019-02-28,1639.83,600210.5263
2019-03-31,1780.75,591052.6316
2019-04-30,1926.52,603763.1579
2019-05-31,1775.07,631315.7895
2019-06-30,1893.63,605473.6842
2019-07-31,1866.78,608605.2632
2019-08-31,1776.29,591947.3684
2019-09-30,1735.91,604657.8947
2019-10-31,1776.66,587210.5263
2019-11-30,1800.8,607368.4211
2019-12-31,1847.84,583078.9474
2020-01-31,2008.72,621868.4211
2020-02-29,1883.75,638263.1579
2020-03-31,1949.72,620315.7895
2020-04-30,2474.0,643500.0
2020-05-31,2442.37,648763.1579
2020-06-30,2758.82,669105.2632
2020-07-31,3164.68,677657.8947
2020-08-31,3450.96,676894.7368
2020-09-30,3148.73,681763.1579
2020-10-31,3036.15,686368.4211
2020-11-30,3168.04,701684.2105
2020-12-31,3256.93,696657.8947
2021-01-31,3206.2,709184.2105
