,Region,r2,m,b,x1,x2,2/28/2021,y1,y2,pct_change,latitude,longitude
0,Auburn,0.876533497,84.47989132,248831.1999,3372.2,23923.33,495000.0,533714.2895,2269871.518,3.5855990269999998,47.303722,-122.26608
1,Bainbridge Island,0.690019895,166.0573571,513190.5069,3372.2,23923.33,872000.0,1073169.127,4485835.461,4.144306721,47.65526,-122.53508000000001
2,Bellevue,0.7809628690000001,188.24066919999999,549556.5237,3372.2,23923.33,1036000.0,1184341.7079999999,5052900.173,3.87731677,47.432251,-121.80338799999998
3,Bothell,0.778954886,135.76700480000002,386915.7276,3372.2,23923.33,782000.0,844749.2212,3634914.586,3.648228371,47.751471,-122.20257
8,Edmonds,0.834119484,124.0124355,346588.09,3372.2,23923.33,745000.0,764782.8249,3313378.508,3.44748793,47.803668,-122.37096000000001
9,Everett,0.87909751,91.56623446,233999.8118,3372.2,23923.33,479000.0,542779.4676,2424569.056,4.061730805,47.986274,-122.20222
10,Federal Way,0.850401675,87.56363334,219325.1527,3372.2,23923.33,490000.0,514607.237,2314138.849,3.722732345,47.311071999999996,-122.31188
11,Issaquah,0.735942185,145.22107069999998,446008.0953,3372.2,23923.33,752000.0,935722.5899,3920179.693,4.21300491,47.522828000000004,-122.02921
12,Kenmore,0.714257916,138.2173061,408539.5758,3372.2,23923.33,875000.0,874635.9753,3715157.8,3.245894629,47.75287,-122.24736000000001
13,Kent,0.865962984,93.65604056,245901.3637,3372.2,23923.33,520000.0,561728.2637,2486465.728,3.781664862,47.369098,-122.192276
14,Kirkland,0.832007759,188.8940774,428720.4199,3372.2,23923.33,1008000.0,1065709.028,4947695.768,3.908428341,47.67903,-122.1934
16,Lakewood,0.897488941,73.39600046,184140.0158,3372.2,23923.33,412000.0,431646.0085,1940016.755,3.7087785330000003,47.12562,-122.52293999999999
17,Lynnwood,0.8464086959999999,111.2020821,288131.3178,3372.2,23923.33,680000.0,663126.9792,2948455.4260000004,3.335963861,47.808816,-122.28393999999999
18,Marysville,0.893269523,92.79721057,217157.4542,3372.2,23923.33,525000.0,530088.2077,2437175.746,3.642239516,48.061269,-122.1588
19,Mercer Island,0.617875885,296.9597088,942320.688,3372.2,23923.33,1653000.0,1943728.218,8046585.7979999995,3.867867997,47.569271,-122.23233
21,Mountlake Terrace,0.8093370520000001,113.8174325,236859.1681,3372.2,23923.33,588000.0,620674.314,2959751.165,4.033590417,47.790969,-122.30538999999999
22,Mukilteo,0.745292315,100.83613869999999,396813.856,3372.2,23923.33,725000.0,736853.483,2809150.078,2.874689763,47.916148,-122.30293
26,Puyallup,0.9103895809999999,78.88890348,217291.8729,3372.2,23923.33,462000.0,483321.0332,2104577.144,3.5553617839999996,47.196272,-122.31577
27,Redmond,0.778835093,163.559152,514487.4658,3372.2,23923.33,960000.0,1066041.638,4427367.033,3.611840659,47.677471000000004,-122.12138
28,Renton,0.827401808,100.43226829999999,295405.7469,3372.2,23923.33,598000.0,634083.4419,2698080.043,3.5118395369999997,47.467422,-122.21005
29,Sammamish,0.8558293379999999,201.301195,586935.0813,3372.2,23923.33,1308000.0,1265762.971,5402729.998,3.1305275210000003,47.625364000000005,-122.04534699999999
31,Seattle,0.745039633,132.23418329999998,424339.04299999995,3372.2,23923.33,710000.0,870259.1558,3587821.047,4.05326908,47.432251,-121.80338799999998
33,Seattle - Beacon Hill,0.754220716,137.0175667,322396.4108,3372.2,23923.33,644995.0,784447.0492,3600312.875,4.5819236960000005,47.5526,-122.3009
34,Seattle - Belltown,0.597566696,85.45228317,386490.7284,3372.2,23923.33,582000.0,674652.9177,2430793.898,3.176621818,47.6147,-122.3448
35,Seattle - Capitol Hill,0.749443904,123.7825951,372553.592,3372.2,23923.33,726475.0,789973.2590000001,3333845.462,3.589071147,47.6253,-122.3222
36,Seattle - Columbia City,0.711728404,140.543963,364326.0966,3372.2,23923.33,670000.0,838268.4485,3726605.702,4.5620980630000005,47.5608,-122.287
37,Seattle - Magnolia,0.782591618,176.1312969,568062.6892,3372.2,23923.33,1088000.0,1162012.649,4781709.829,3.394953887,47.6468,-122.40100000000001
38,Seattle - Queen Anne,0.749087627,159.8896408,493606.8599,3372.2,23923.33,849000.0,1032786.707,4318699.501,4.086807422,47.6323,-122.3569
39,Seattle - South Lake Union,0.495501431,80.41545577,359071.7372,3372.2,23923.33,554000.0,630248.7371,2282877.223,3.120717008,47.6256,-122.3344
40,Seattle - Wallingford,0.6906549670000001,141.73987759999997,587542.7793,3372.2,23923.33,860375.0,1065517.994,3978432.645,3.624068162,47.6614,-122.3421
41,Seattle - West Seattle,0.762491378,124.6293426,378414.5143,3372.2,23923.33,660000.0,798689.5835,3359963.405,4.090853644,47.5667,-122.3868
42,Shoreline,0.78288469,136.426847,321396.9237,3372.2,23923.33,638000.0,781455.537,3585181.4039999996,4.61940659,47.763669,-122.35383999999999
44,Tacoma,0.918661759,81.69956814,164452.971,3372.2,23923.33,402000.0,439960.2547,2118978.7,4.271091295,47.253671000000004,-122.44433500000001
46,Woodinville,0.8168036259999999,168.83153159999998,485677.0616,3372.2,23923.33,903000.0,1055010.752,4524689.505,4.010730349,47.758786,-122.10205
