Date,Auburn,Bainbridge Island,Bellevue,Bothell,Brier,Burien,Des Moines,DuPont,Edmonds,Everett,Federal Way,Issaquah,Kenmore,Kent,Kirkland,Lake Forest Park,Lakewood,Lynnwood,Marysville,Mercer Island,Mill Creek,Mountlake Terrace,Mukilteo,Newcastle,North Bend,Olympia,Puyallup,Redmond,Renton,Sammamish,SeaTac,Seattle,"Seattle, WA metro ",Shoreline,Snoqualmie,Tacoma,Tukwila,Woodinville
1/31/2012,188000,407000,370000,314000,540000,181000,185000,285000,320000,181000,159000,353000,382000,200000,338000,385000,183000,223000,180000,863000,320000,119000,365000,549000,203000,235000,178000,385000,244000,534000,123000,320000,260000,247000,377000,141000,122000,353000
2/29/2012,206000,483000,418000,325000,500000,194000,151000,261000,320000,187000,175000,362000,355000,200000,305000,333000,184000,203000,193000,705000,290000,157000,315000,538000,249000,221000,195000,390000,235000,520000,126000,350000,273000,235000,439000,140000,148000,433000
3/31/2012,197000,500000,445000,315000,275000,211000,168000,267000,300000,200000,154000,380000,273000,212000,363000,357000,140000,243000,175000,850000,295000,187000,360000,447000,274000,244000,195000,455000,250000,473000,139000,378000,290000,246000,412000,145000,163000,427000
4/30/2012,209000,527000,460000,325000,500000,194000,175000,260000,325000,190000,183000,439000,371000,200000,361000,370000,229000,250000,180000,765000,346000,196000,285000,440000,222000,231000,199000,452000,255000,530000,125000,380000,299000,252000,443000,155000,120000,410000
5/31/2012,225000,453000,485000,318000,310000,220000,189000,270000,358000,185000,207000,441000,350000,230000,393000,416000,175000,248000,194000,825000,347000,201000,395000,480000,385000,250000,202000,472000,248000,515000,188000,380000,310000,297000,448000,160000,69000,498000
6/30/2012,220000,535000,493000,320000,310000,235000,163000,280000,311000,200000,170000,375000,312000,215000,377000,411000,174000,260000,185000,773000,364000,225000,395000,465000,270000,240000,199000,490000,271000,542000,170000,375000,310000,294000,423000,155000,173000,430000
7/31/2012,212000,497000,508000,332000,285000,175000,148000,255000,339000,212000,189000,407000,345000,220000,405000,399000,165000,234000,190000,787000,355000,205000,408000,484000,315000,228000,197000,500000,290000,541000,180000,360000,312000,271000,415000,151000,161000,458000
8/31/2012,220000,396000,507000,335000,330000,194000,186000,257000,302000,216000,210000,449000,352000,215000,407000,395000,178000,246000,210000,986000,329000,225000,385000,465000,364000,229000,205000,455000,295000,507000,188000,368000,313000,280000,396000,168000,225000,430000
9/30/2012,230000,498000,503000,308000,280000,202000,170000,290000,314000,229000,208000,375000,400000,227000,411000,313000,186000,257000,195000,886000,333000,185000,390000,380000,324000,246000,200000,490000,270000,537000,169000,369000,310000,288000,412000,163000,162000,450000
10/31/2012,245000,425000,500000,325000,340000,240000,173000,274000,332000,216000,208000,426000,418000,247000,418000,334000,174000,258000,189000,670000,345000,183000,379000,427000,418000,220000,201000,500000,250000,567000,153000,386000,320000,285000,420000,160000,175000,511000
11/30/2012,238000,386000,513000,328000,360000,232000,196000,229000,336000,210000,177000,384000,360000,240000,400000,411000,214000,253000,187000,756000,300000,183000,395000,525000,378000,220000,201000,525000,260000,555000,171000,365000,310000,263000,425000,155000,110000,432000
12/31/2012,247000,349000,488000,329000,342000,184000,186000,299000,313000,202000,178000,430000,372000,210000,356000,297000,190000,243000,205000,949000,355000,197000,367000,436000,314000,224000,209000,435000,278000,491000,195000,350000,290000,240000,435000,156000,159000,439000
1/31/2013,241000,425000,547000,351000,350000,215000,168000,335000,321000,220000,205000,396000,368000,214000,385000,419000,201000,261000,196000,883000,360000,204000,370000,450000,370000,235000,220000,485000,268000,550000,150000,367000,310000,265000,428000,164000,180000,429000
2/28/2013,240000,499000,475000,365000,330000,190000,175000,300000,315000,234000,197000,415000,330000,243000,435000,416000,225000,269000,228000,880000,405000,226000,418000,611000,340000,231000,200000,440000,269000,601000,165000,399000,324000,310000,445000,159000,175000,440000
3/31/2013,248000,485000,530000,372000,326000,242000,215000,242000,340000,230000,208000,471000,407000,250000,419000,476000,190000,288000,220000,865000,377000,265000,405000,535000,410000,246000,226000,520000,281000,568000,200000,390000,330000,270000,460000,175000,151000,478000
4/30/2013,260000,465000,546000,382000,402000,250000,230000,277000,342000,248000,225000,451000,412000,232000,461000,359000,199000,312000,215000,888000,399000,190000,405000,435000,408000,237000,231000,510000,300000,583000,214000,405000,349000,306000,415000,170000,188000,483000
5/31/2013,250000,515000,570000,375000,299000,240000,221000,289000,365000,244000,231000,435000,373000,260000,457000,510000,196000,294000,230000,893000,370000,250000,426000,471000,400000,238000,233000,547000,315000,608000,210000,410000,350000,319000,470000,168000,230000,538000
6/30/2013,250000,509000,566000,401000,400000,250000,226000,250000,344000,255000,228000,487000,395000,255000,460000,417000,205000,304000,237000,963000,384000,285000,436000,608000,426000,245000,244000,544000,300000,594000,217000,427000,363000,335000,435000,172000,204000,506000
7/31/2013,255000,530000,526000,380000,274000,275000,243000,337000,371000,260000,239000,427000,378000,271000,471000,420000,207000,300000,230000,929000,340000,251000,414000,488000,410000,260000,240000,532000,314000,591000,219000,415000,355000,334000,475000,184000,182000,546000
8/31/2013,262000,555000,578000,378000,460000,245000,231000,303000,360000,254000,229000,460000,450000,275000,410000,465000,189000,301000,245000,990000,378000,245000,610000,464000,428000,242000,235000,530000,302000,587000,215000,417000,355000,346000,405000,180000,241000,562000
9/30/2013,257000,465000,538000,348000,299000,245000,191000,280000,335000,242000,224000,439000,352000,250000,426000,428000,175000,300000,230000,1015000,368000,266000,424000,412000,391000,235000,235000,528000,280000,610000,240000,420000,350000,324000,402000,172000,247000,486000
10/31/2013,273000,513000,505000,379000,359000,250000,208000,282000,332000,245000,229000,436000,386000,265000,425000,386000,173000,326000,239000,820000,370000,241000,451000,435000,368000,239000,240000,500000,310000,621000,189000,404000,345000,324000,382000,160000,175000,527000
11/30/2013,289000,483000,531000,395000,315000,230000,230000,216000,373000,250000,270000,476000,406000,251000,493000,298000,234000,330000,235000,950000,350000,275000,385000,457000,435000,244000,239000,495000,281000,630000,212000,409000,350000,331000,507000,170000,196000,549000
12/31/2013,255000,490000,523000,384000,462000,219000,193000,197000,275000,227000,225000,415000,458000,225000,455000,425000,178000,320000,238000,855000,331000,255000,414000,465000,293000,229000,240000,521000,310000,635000,215000,410000,330000,315000,371000,170000,135000,443000
1/31/2014,259000,460000,503000,432000,447000,254000,227000,276000,365000,242000,217000,422000,383000,256000,433000,621000,172000,325000,249000,836000,385000,272000,419000,410000,272000,227000,210000,467000,290000,614000,194000,415000,349000,325000,440000,170000,214000,545000
2/28/2014,270000,638000,527000,418000,440000,263000,254000,299000,305000,260000,236000,415000,406000,246000,463000,420000,186000,337000,237000,1110000,360000,275000,416000,487000,435000,230000,237000,456000,315000,645000,200000,406000,342000,355000,455000,180000,164000,459000
3/31/2014,274000,578000,550000,422000,410000,272000,254000,255000,365000,227000,230000,477000,425000,245000,461000,461000,189000,325000,255000,1237000,383000,293000,440000,553000,452000,230000,246000,535000,310000,683000,232000,417000,355000,347000,441000,180000,218000,514000
4/30/2014,267000,513000,559000,420000,562000,250000,231000,306000,355000,251000,263000,475000,412000,265000,489000,508000,217000,315000,254000,1200000,401000,250000,487000,569000,423000,245000,245000,553000,326000,676000,180000,440000,365000,341000,499000,185000,201000,525000
5/31/2014,280000,540000,655000,439000,394000,267000,257000,265000,385000,247000,250000,485000,450000,281000,510000,420000,192000,336000,260000,970000,390000,280000,355000,640000,427000,248000,249000,569000,327000,651000,235000,450000,385000,340000,482000,194000,235000,540000
6/30/2014,275000,558000,678000,397000,405000,283000,267000,252000,381000,265000,236000,525000,383000,265000,492000,463000,239000,335000,236000,868000,396000,290000,425000,523000,387000,246000,240000,601000,341000,650000,225000,455000,380000,355000,520000,189000,218000,530000
7/31/2014,267000,513000,620000,439000,335000,255000,252000,269000,390000,265000,240000,481000,431000,265000,475000,475000,219000,340000,250000,994000,406000,319000,385000,679000,446000,249000,250000,582000,330000,652000,236000,419000,372000,351000,528000,190000,187000,492000
